Page number	proj no	State	city	county	name of facility	control	category	type const	adj fac	beds provided	Total	Hill-Burton Funds	Month	Year	Status
26	0369	Alabama	Abbeville	Henry	Henry County Hosp	3	1	5	4	24	"301,649"	"187,674"	06	66	3
26	0169	Alabama	Abbeville	Henry	Henry County Hosp	3	1	1	-	25	"414,227"	"261,118"	09	57	3
26	M484	Alabama	Abbeville	Henry	Henry County PHC	3	5	4	-	-	"139,000"	"83,400"	05	71	1
26	0181	Alabama	Alabaster	Shelby	Shelby Memorial Hosp	3	1	2	8	-	"332,999"	"24,357"	04	66	3
26	0176	Alabama	Alabaster	Shelby	Shelby Memorial Hosp	3	1	1	-	36	"686,413"	"360,000"	10	57	3
26	0213	Alabama	Alexander City	Tallapoosa	Russell Hosp	1	1	1	-	75	"1,453,268"	"684,000"	02	62	3
26	0031	Alabama	Aliceville	Pickens	South Pickens CO Hosp	3	1	1	-	30	"344,832"	"227,885"	03	50	3
26	0461	Alabama	Andalusia	Covington	Andalusia Hosp	1	1	5	4	29	"1,588,381"	"900,000"	12	69	2
26	0345	Alabama	Andalusia	Covington	Andalusia Hosp	1	1	1	-	40	"869,129"	"346,000"	03	64	3
26	0155	Alabama	Andalusia	Covington	Covington County PHC	3	5	1	-	-	"105,511"	"70,341"	12	58	3
26	0132	Alabama	Anniston	Calhoun	Anniston Memorial Hosp	2	1	5	4	45	"1,678,285"	"454,800"	12	68	2
26	0091	Alabama	Anniston	Calhoun	Anniston Memorial Hosp	2	1	5	4	93	"1,841,301"	"861,664"	02	59	3
26	0347	Alabama	Anniston	Calhoun	Calhoun County PHC	3	5	1	-	-	"457,393"	"303,000"	04	64	3
26	0455	Alabama	Anniston	Calhoun	Stringfellow Mem Hosp	1	1	5	4	36	"970,697"	"427,564"	05	69	2
26	C365	Alabama	Anniston	Calhoun	Stringfellow Mem Hosp	1	1	2	8	-	"5,875"	"3,916"	06	66	3
26	C307	Alabama	Anniston	Calhoun	Stringfellow Mem Hosp	1	LTU	2	4	30	"536,392"	"344,061"	11	62	3
26	C098	Alabama	Anniston	Calhoun	Stringfellow Mem Hosp	1	LTU	1	-	30	"376,828"	"244,552"	02	56	3
26	8365	Alabama	Anniston	Calhoun	Stringfellow Mem Hosp	1	LTU	2	8	-	"7,908"	"5,272"	06	66	3
26	0175	Alabama	Arab	Marshall	Arab Hosp	3	1	5	4	23	"870,036"	"462,000"	03	67	2
26	0060	Alabama	Arab	Marshall	Arab Hosp	3	7	1	-	20	"242,429"	"148,549"	01	54	3
26	0020	Alabama	Ashland	Clay	Clay County Hosp	3	1	1	-	20	"270,102"	"175,034"	03	49	3
26	0109	Alabama	Ashland	Clay	Clay County Hosp	3	1	5	4	11	"179,270"	"101,749"	02	59	3
26	N278	Alabama	Ashland	Clay	Clay County Hosp	3	LTU	2	-	40	"445,630"	"286,158"	03	64	3
26	0244	Alabama	Ashland	Clay	Clay County PHC	3	5	1	-	-	"74,048"	"49,366"	03	61	3
26	0122	Alabama	Ashville	ST Clair	ST Clair CO PHC	3	5	1	-	-	"58,953"	"39,302"	10	55	3
26	0022	Alabama	Athens	Limestone	Athens Limestone Hosp	3	7	1	-	50	"672,134"	"439,241"	05	49	3
26	0264	Alabama	Atmore	Escambia	Atmore Aux PHC	3	5	1	-	-	"42,378"	"28,252"	12	60	3
26	0330	Alabama	Atmore	Escambia	Greenlawn Hosp	3	1	1	-	51	"1,129,388"	"635,000"	02	64	3
26	0277	Alabama	Bay Minette	Baldwin	Baldwin County PHC	3	5	1	-	-	"74,014"	"49,343"	06	61	3
26	0376	Alabama	Bay Minette	Baldwin	Bay Minette Hosp	3	1	4	-	55	"1,627,133"	"917,800"	02	68	3
26	0076	Alabama	Bessemer	Jefferson	Bessemer Hosp	2	1	1	-	115	"1,841,454"	"1,065,000"	03	62	3
26	0127	Alabama	Birmingham	Jefferson	Carraway Methodist Hosp	1	1	5	-	53	"535,338"	"240,000"	01	59	3
26	0319	Alabama	Birmingham	Jefferson	Carraway Methodist Hosp	1	1	2	-	290	"3,433,260"	"1,000,000"	07	63	3
26	0003	Alabama	Birmingham	Jefferson	Carraway Methodist Hosp	1	1	2	6	-	"554,443"	"184,815"	04	48	3
26	M452	Alabama	Birmingham	Jefferson	Carraway Methodist Hosp	1	1	8	-	43	"5,141,510"	"500,000"	04	70	2
27	0102	Alabama	Birmingham	Jefferson	Childrens Hosp	1	1	1	-	128	"2,622,238"	"1,035,000"	11	58	3
27	0102	Alabama	Birmingham	Jefferson	Childrens Hosp	1	9	2	-	-	"262,952"	"171,916"	12	59	3
27	0408	Alabama	Birmingham	Jefferson	Childrens Hosp	1	1	5	4	61	"1,183,105"	"768,552"	02	67	3
