"","id","group"
"1",1,"Control"
"2",2,"Emotion Ad"
"3",3,"Reason Ad"
"4",4,"Control"
"5",5,"Control"
"6",6,"Emotion Ad"
"7",7,"Reason Ad"
"8",8,"Emotion Ad"
"9",9,"Reason Ad"
"10",10,"Control"
"11",11,"Control"
"12",12,"Reason Ad"
"13",13,"Reason Ad"
"14",14,"Reason Ad"
"15",15,"Control"
"16",16,"Emotion Ad"
"17",17,"Emotion Ad"
"18",18,"Emotion Ad"
"19",19,"Control"
"20",20,"Emotion Ad"
"21",21,"Emotion Ad"
"22",22,"Control"
"23",23,"Reason Ad"
"24",24,"Reason Ad"
"25",25,"Control"
"26",26,"Reason Ad"
"27",27,"Emotion Ad"
"28",28,"Reason Ad"
"29",29,"Reason Ad"
"30",30,"Control"
"31",31,"Emotion Ad"
"32",32,"Reason Ad"
"33",33,"Reason Ad"
"34",34,"Reason Ad"
"35",35,"Reason Ad"
"36",36,"Reason Ad"
"37",37,"Control"
"38",38,"Reason Ad"
"39",39,"Emotion Ad"
"40",40,"Reason Ad"
"41",41,"Emotion Ad"
"42",42,"Reason Ad"
"43",43,"Control"
"44",44,"Emotion Ad"
"45",45,"Reason Ad"
"46",46,"Emotion Ad"
"47",47,"Reason Ad"
"48",48,"Control"
"49",49,"Reason Ad"
"50",50,"Reason Ad"
"51",51,"Reason Ad"
"52",52,"Reason Ad"
"53",53,"Control"
"54",54,"Emotion Ad"
"55",55,"Reason Ad"
"56",56,"Reason Ad"
"57",57,"Emotion Ad"
"58",58,"Reason Ad"
"59",59,"Reason Ad"
"60",60,"Emotion Ad"
"61",61,"Emotion Ad"
"62",62,"Reason Ad"
"63",63,"Reason Ad"
"64",64,"Reason Ad"
"65",65,"Emotion Ad"
"66",66,"Reason Ad"
"67",67,"Emotion Ad"
"68",68,"Emotion Ad"
"69",69,"Reason Ad"
"70",70,"Reason Ad"
"71",71,"Reason Ad"
"72",72,"Control"
"73",73,"Emotion Ad"
"74",74,"Control"
"75",75,"Reason Ad"
"76",76,"Control"
"77",77,"Reason Ad"
"78",78,"Control"
"79",79,"Control"
"80",80,"Control"
"81",81,"Control"
"82",82,"Reason Ad"
"83",83,"Reason Ad"
"84",84,"Control"
"85",85,"Emotion Ad"
"86",86,"Emotion Ad"
"87",87,"Emotion Ad"
"88",88,"Reason Ad"
"89",89,"Control"
"90",90,"Reason Ad"
"91",91,"Control"
"92",92,"Emotion Ad"
"93",93,"Reason Ad"
"94",94,"Control"
"95",95,"Emotion Ad"
"96",96,"Control"
"97",97,"Emotion Ad"
"98",98,"Control"
"99",99,"Control"
"100",100,"Control"
"101",101,"Control"
"102",102,"Emotion Ad"
"103",103,"Reason Ad"
"104",104,"Reason Ad"
"105",105,"Emotion Ad"
"106",106,"Reason Ad"
"107",107,"Emotion Ad"
"108",108,"Emotion Ad"
"109",109,"Emotion Ad"
"110",110,"Reason Ad"
"111",111,"Reason Ad"
"112",112,"Emotion Ad"
"113",113,"Reason Ad"
"114",114,"Emotion Ad"
"115",115,"Reason Ad"
"116",116,"Control"
"117",117,"Emotion Ad"
"118",118,"Emotion Ad"
"119",119,"Reason Ad"
"120",120,"Control"
"121",121,"Emotion Ad"
"122",122,"Emotion Ad"
"123",123,"Control"
"124",124,"Control"
"125",125,"Control"
"126",126,"Control"
"127",127,"Reason Ad"
"128",128,"Reason Ad"
"129",129,"Reason Ad"
"130",130,"Reason Ad"
"131",131,"Control"
"132",132,"Emotion Ad"
"133",133,"Reason Ad"
"134",134,"Reason Ad"
"135",135,"Reason Ad"
"136",136,"Reason Ad"
"137",137,"Reason Ad"
"138",138,"Control"
"139",139,"Emotion Ad"
"140",140,"Emotion Ad"
"141",141,"Reason Ad"
"142",142,"Control"
"143",143,"Emotion Ad"
"144",144,"Control"
"145",145,"Emotion Ad"
"146",146,"Control"
