"","id","age","gender","race","income","education","region","hesitancy_q1","hesitancy_q2"
"1",1,40,"Female","Hispanic","Low","Bachelor's or higher","South",4,4
"2",2,46,"Female","White","Medium","Some College","Midwest",2,1
"3",3,78,"Male","Black","High","Some College","South",3,3
"4",4,51,"Female","Asian","Medium","Some College","West",5,3
"5",5,52,"Female","White","Low","Bachelor's or higher","South",5,4
"6",6,81,"Female","White","Medium","High School or less","South",4,3
"7",7,58,"Male","White","Medium","High School or less","Northeast",5,4
"8",8,27,"Male","White","High","High School or less","South",1,3
"9",9,38,"Male","White","High","Some College","Midwest",3,4
"10",10,42,"Female","Black","High","High School or less","South",1,3
"11",11,72,"Male","White","Low","Some College","Northeast",3,4
"12",12,56,"Male","White","Medium","Bachelor's or higher","South",4,4
"13",13,57,"Male","White","Low","High School or less","South",2,3
"14",14,52,"Female","Black","Medium","Some College","South",2,2
"15",15,40,"Male","White","High","High School or less","Midwest",4,1
"16",16,82,"Female","White","Low","Some College","South",2,2
"17",17,59,"Female","Black","Medium","Bachelor's or higher","Midwest",2,3
"18",18,18,"Female","Hispanic","Low","Bachelor's or higher","Northeast",3,4
"19",19,63,"Female","White","Medium","High School or less","Midwest",4,5
"20",20,41,"Male","White","High","High School or less","Midwest",4,2
"21",21,31,"Female","White","Medium","Bachelor's or higher","Midwest",3,5
"22",22,46,"Female","White","Medium","High School or less","South",4,4
"23",23,32,"Male","White","High","Bachelor's or higher","South",5,5
"24",24,37,"Male","White","Medium","Some College","West",3,4
"25",25,39,"Male","Asian","Low","Some College","Midwest",4,4
"26",26,20,"Female","White","High","High School or less","West",3,3
"27",27,65,"Female","White","Medium","Some College","West",2,4
"28",28,53,"Female","White","Low","High School or less","West",3,2
"29",29,30,"Female","White","Medium","Some College","West",2,1
"30",30,73,"Female","White","Low","Bachelor's or higher","Midwest",3,5
"31",31,58,"Male","Black","Low","High School or less","South",3,1
"32",32,45,"Male","Hispanic","Low","Bachelor's or higher","South",2,5
"33",33,66,"Female","White","High","High School or less","Midwest",5,3
"34",34,66,"Male","White","Medium","High School or less","South",5,1
"35",35,65,"Female","White","High","High School or less","Northeast",3,2
"36",36,62,"Male","White","Low","High School or less","South",5,5
"37",37,60,"Male","White","Medium","High School or less","West",5,3
"38",38,49,"Female","Hispanic","Low","Bachelor's or higher","Midwest",2,2
"39",39,44,"Female","White","Medium","Some College","Midwest",5,4
"40",40,43,"Female","White","High","Some College","West",5,4
"41",41,37,"Female","Hispanic","High","High School or less","Northeast",3,5
"42",42,46,"Female","White","Medium","Some College","Midwest",5,4
"43",43,27,"Female","White","Low","Bachelor's or higher","South",3,4
"44",44,89,"Female","White","Medium","High School or less","South",1,4
"45",45,72,"Female","Black","Low","Some College","West",2,3
"46",46,30,"Female","White","High","Some College","West",2,3
"47",47,43,"Female","White","High","Some College","Northeast",4,4
"48",48,42,"Male","Black","Medium","High School or less","West",4,3
"49",49,64,"Female","Black","Low","Some College","South",4,5
"50",50,48,"Female","White","Low","Bachelor's or higher","West",4,2
"51",51,55,"Female","White","Medium","Bachelor's or higher","South",5,4
"52",52,49,"Male","White","High","Some College","South",4,2
"53",53,49,"Male","Hispanic","Medium","Bachelor's or higher","West",5,4
"54",54,75,"Male","White","Medium","High School or less","Midwest",2,5
"55",55,46,"Male","White","High","High School or less","South",3,2
"56",56,77,"Female","Hispanic","Medium","Bachelor's or higher","South",4,1
"57",57,22,"Male","Black","Medium","Bachelor's or higher","South",5,5
"58",58,61,"Female","White","Medium","Some College","Midwest",2,2
"59",59,52,"Female","Black","High","High School or less","South",2,4
"60",60,54,"Female","Asian","High","Bachelor's or higher","Midwest",3,2
"61",61,57,"Female","Black","High","High School or less","South",2,1
"62",62,41,"Male","White","High","High School or less","Midwest",2,2
"63",63,44,"Male","White","Medium","Bachelor's or higher","South",3,1
"64",64,32,"Female","Black","High","High School or less","West",2,4
"65",65,31,"Male","White","Medium","Bachelor's or higher","Midwest",1,5
"66",66,55,"Female","White","Medium","Bachelor's or higher","West",2,4
"67",67,58,"Female","White","Low","Bachelor's or higher","Midwest",4,2
"68",68,51,"Female","White","Medium","High School or less","Northeast",2,2
"69",69,67,"Female","Hispanic","Medium","High School or less","West",1,3
"70",70,87,"Male","White","Medium","Bachelor's or higher","South",3,5
"71",71,41,"Female","Black","High","Bachelor's or higher","West",5,2
"72",72,18,"Male","White","Medium","High School or less","Northeast",5,2
"73",73,68,"Female","Black","Medium","Some College","West",2,3
"74",74,37,"Male","White","Medium","High School or less","Midwest",4,2
"75",75,38,"Female","White","Low","Some College","Midwest",5,3
"76",76,68,"Male","White","Low","Bachelor's or higher","Northeast",4,4
"77",77,45,"Male","Asian","Medium","High School or less","South",4,5
"78",78,28,"Male","White","High","Some College","Midwest",4,4
"79",79,53,"Male","White","High","High School or less","West",3,3
"80",80,47,"Female","White","Low","Bachelor's or higher","South",3,3
"81",81,50,"Male","White","Low","Some College","Midwest",3,4
"82",82,57,"Male","White","Medium","Bachelor's or higher","Midwest",4,3
"83",83,43,"Male","White","Medium","Bachelor's or higher","South",2,5
"84",84,62,"Male","Hispanic","Medium","Bachelor's or higher","West",1,2
"85",85,46,"Female","White","Medium","High School or less","South",1,4
